id,subject,hostname,arart,summary,status,create_time,close_time,workaround,solution
1,subject01,honban001,[error][product]honban001 is dead! ,honban001 dead.,暫定対応,2021-03-03,2021-03-18,restart prosess and escarate 01,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0101 ""kamehameha"",""daio"">!!"
2,subject02,honban002,[error][product]honban002 is dead!,"honban002 dead.
and runbling. ""meyday!"",""o
i"",  $&",完了,2021/3/10,2021/3/17,restart prosess and escarate 02,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0102 ""kamehameha"",""daio"">!!
4. update test. "
3,subject03,honban003,[error][product]honban003 is dead!,honban003 dead.,調査中,2021/3/4,2021/3/7,restart prosess and escarate 03,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0103 ""kamehameha"",""daio"">!!"
4,subject04,honban004,[error][product]honban004 is dead!,honban004 dead.,恒久対応,2021/3/4,2021/3/7,restart prosess and escarate 04,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0104 ""kamehameha"",""daio"">!!"
5,subject05,kensyo01,[error][product]honban005 is dead!,honban005 dead.,調査中,2021/3/4,,restart prosess and escarate 05,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0105 ""kamehameha"",""daio"">!!"
6,subject06,kensyo02,[error][product]honban006 is dead!,honban006 dead.,調査中,2021/3/4,,restart prosess and escarate 06,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0106 ""kamehameha"",""daio"">!!"
8,subject08,honban006,[error][product]honban008 is dead!,"honban003 dead.
and runbling. ""meyday!"",""o
i"",  $&",完了,2021/3/4,2021/3/7,restart prosess and escarate 08,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0108 ""kamehameha"",""daio"">!!"
9,subject09,honban007,[error][product]honban009 is dead!,honban007 dead.,調査中,2021/3/4,2021/3/7,restart prosess and escarate 09,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0109 ""kamehameha"",""daio"">!!"
11,subject11,kensyo03,[error][product]honban011 is dead!,honban009 dead.,調査中,2021/3/4,,restart prosess and escarate 11,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0111 ""kamehameha"",""daio"">!!"
12,subject12,kensyo04,[error][product]honban012 is dead!,honban010 dead.,調査中,2021/3/4,,restart prosess and escarate 12,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0112 ""kamehameha"",""daio"">!!"
13,subject13,honban009,[error][product]honban013 is dead!,honban003 dead.,暫定対応,2021/3/4,2021/3/6,restart prosess and escarate 13,"1. hogehoge
2. fugafuga
3. piyopiyo ""hogehoge"" ~~~ 0102, and
    huga  0113 ""kamehameha"",""daio"">!!"
